fresh;fet1;fet2;fet3;fet4;fet5;fet6;fet7;fet8;fet9;fet10;s1;s2;s3;s4;s5;s6;s7;cd1;cd2;cy1;cy2;cy3;dis1;dis2;dis3;dis4;life1;life2;life3;life4;fwl1;fwl2;fwl3;fwl4;fwl5;fwl6;fwl7;fwl8;wnb1;wnb2;wnb3;wnb4;wnb5;egg1;egg2;egg3;egg4;drift1;drift2;drift3;cuv1;cuv2;cuv3;cuv4;cup1;cup2;cup3;cup4;cup5;cup6;cup7;szp1;szp2;szp3;szp4;szp5;szp6;szp7;szp8;szp9;szp10;lsr1;lsr2;lsr3;lsr4;lsr5;lsr6;lsr7;lsr8;res1;res2;res3;res4;res5;ref1;ref2;ref3;ref4;ref5;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;aqs1;aqs2;aqs3;aqs4
Hydrochara_sp_Lv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0.75;0.25;0;0.25;0;0.75;0;0;0;1;0;0;0.333333333;0.666666667;0;0;0;0;0;0;0;1;0;1;0;0;0;0.75;0.25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.166666667;0;0.333333333;0.5;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Hydroglyphus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0.25;0.75;0;0.25;0.75;0;0.25;0;0.75;0;0;0.75;0.25;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Hydrometra_sp;0;0;0;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0;0;1;0;0;0.75;0.25;0.2;0.6;0;0.2;0;0;0.5;0.5;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0.5;0.5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.142857143;0.571428571;0;0.285714286;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.25;0;0;0.75;0;0;0;0.5;0;0.5
Hydrophilidae_Gen_sp_Lv;0.015384615;0;0;0.023076923;0.023076923;0;0;0.938461538;0;0;0;0.411764706;0.294117647;0.176470588;0.058823529;0.058823529;0;0.236363636;0.763636364;0;0.75;0.25;0.044776119;0.23880597;0;0.71641791;0;0;0.571428571;0.428571429;0.48;0.24;0.14;0.08;0;0.06;0;0;0;0;0;1;0;0.945945946;0.054054054;0;0;0.947368421;0.052631579;0;0.975903614;0.024096386;0;0;0;0;1;0;0;0;0;0;0.013333333;0.003809524;0.007619048;0.011428571;0.011428571;0.026666667;0.001904762;0.923809524;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.208053691;0.040268456;0.208053691;0.543624161;0;0;0;0.074074074;0;0.925925926;0;0;0;0.851851852;0.074074074;0.074074074;0;0;0.375;0.375;0;0.25
Hydrophilus_sp_Lv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0.75;0.25;0;0.25;0;0.75;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0.5;0.5;0;0;0.75;0.25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.166666667;0;0.333333333;0.5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.375;0.375;0;0.25
Hydroporus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0.6;0.4;0;0;0;0;0.25;0.75;0;0.25;0.75;0;0.25;0;0.75;0;0;0.75;0.25;0.75;0.25;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0.75;0.25;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Hydropsyche_sp;0.2;0;0;0;0;0;0.5;0.3;0;0;0;0;0.2;0.6;0.2;0;0;1;0;0;0.5;0.5;0.333333333;0.222222222;0.111111111;0.333333333;0;1;0;0;0;0.333333333;0.5;0.166666667;0;0;0;0;0;0;0;0;1;0;1;0;0;0.166666667;0.5;0.333333333;0;0.2;0.6;0.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0.6;0;0.4;0.6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.333333333;0.333333333;0.333333333;0
Hydroptila_sp;0;0;0;0;0;0;0;0;0;1;0;0.75;0.25;0;0;0;0;1;0;0;0.4;0.6;0.2;0.2;0.4;0.2;0.75;0.25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0.5;0;0;0.5;0.5;0;0.166666667;0.5;0.333333333;0;0;0;0;0;1;0;0;0.1;0.1;0.1;0.1;0.2;0.1;0.1;0;0.2;0;0;0;0;0.75;0;0;0.25;0;0.75;0.25;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.333333333;0.333333333;0.333333333;0
Hygrotus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0.6;0.4;0;0;0;0;0.25;0.75;0;0.25;0.75;0;0.25;0;0.75;0;0;0.75;0.25;0.5;0.5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Hyphydrus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0.25;0.75;0;0.25;0;0.75;0;0;0.75;0.25;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0.7;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
