h;type;phase;Acroloxus_sp;Aeshna_sp;Agabus_sp_Ad;Anacaena_sp_Ad;Anisus_sp;Aplexa_sp;Asellus_sp;Baetis_sp;Batracobdelloides_sp;Berosus_sp_Lv;Bidessus_sp_Ad;Bithynia_sp;Caenis_sp;Ceratopogonidae_Gen_sp;Cercyon_sp_Ad;Chironomidae_Gen_sp;Cloeon_sp;Coenagrion_sp;Colymbetes_sp_Lv;Copelatus_sp_Ad;Copelatus_sp_Lv;Corixidae_Gen_sp;Culicidae_Gen_sp;Curculionidae_Gen_sp_Ad;Cymatia_sp;Cymbiodyta_sp_Ad;Dina_sp;Dryops_sp_Ad;Dytiscidae_Gen_sp_Lv;Enochrus_sp_Ad;Ephydridae_Gen_sp;Erpobdella_sp;Erpobdellidae_Gen_sp;Gerridae_Gen_sp;Glossiphonia_sp;Glossiphoniidae_Gen_sp;Glyphotaelius_sp;Grammotaulius_sp;Gyraulus_sp;Haemopis_sp;Haliplus_sp_Lv;Helobdella_sp;Helochares_sp_Ad;Helophorus_sp_Ad;Hemiclepsis_sp;Hesperocorixa_sp;Hirudo_sp;Hydaticus_sp_Lv;Hydrobius_sp_Ad;Hydrochara_sp_Ad;Hydrochara_sp_Lv;Hydroglyphus_sp_Ad;Hydrometra_sp;Hydrophilidae_Gen_sp_Lv;Hydrophilus_sp_Lv;Hydroporus_sp_Ad;Hydropsyche_sp;Hydroptila_sp;Hygrotus_sp_Ad;Hyphydrus_sp_Ad;Hyphydrus_sp_Lv;Ilybius_sp_Ad;Ilyocoris_sp;Ironoquia_sp;Ischnura_sp;Laccophilus_sp_Ad;Leptoceridae_Gen_sp;Lestes_sp;Libellula_sp;Libellulidae_Gen_sp;Limnephilidae_Gen_sp;Limnephilus_sp;Lymnaea_sp;Lymnaeidae_Gen_sp;Mesovelia_sp;Metreletus_sp;Micronecta_sp;Muscidae_Gen_sp;Musculium_sp;Nepa_sp;Niphargus_sp;Noterus_sp_Ad;Notonecta_sp;Notonectidae_Gen_sp;Oecetis_sp;Orchestia_sp;Orthetrum_sp;Oxyethira_sp;Paraleptophlebia_sp;Peltodytes_sp_Ad;Physa_sp;Physella_sp;Physidae_Gen_sp;Pisidium_sp;Planorbarius_sp;Planorbis_sp;Platambus_sp_Ad;Platycnemis_sp;Plea_sp;Porhydrus_sp_Lv;Potamophilus_sp_Lv;Radix_sp;Ranatra_sp;Rhantus_sp_Lv;Sigara_sp;Simuliidae_Gen_sp;Spercheus_sp_Ad;Sphaerium_sp;Stagnicola_sp;Stratiomyidae_Gen_sp;Sympetrum_sp;Tabanidae_Gen_sp;Tipulidae_Gen_sp;Valvata_sp;Viviparus_sp
KOD09;per;per;0;0;0;0;3.2;0;412.8;0;0;0;0;25.6;3.2;0;0;0;320;76.8;0;0;0;3.2;3.2;0;0;3.2;0;0;0;0;6.4;0;9.6;3.2;12.8;0;0;0;0;0;19.2;9.6;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;0;0;0;0;0;0;3.2;9.6;0;0;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;3.2;0;0;6.4;0;0;0;0;32;0;6.4;0;0;0;19.2;0;0;0;0;3.2;0;0;0;0;3.2
KOD10;per;per;0;0;0;0;6.4;0;2214.4;0;6.4;0;0;83.2;3.2;0;0;0;256;323.2;0;0;0;0;0;0;0;0;0;0;19.2;0;0;6.4;28.8;0;12.8;0;0;0;0;0;16;12.8;0;0;0;9.6;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;6.4;3.2;0;0;0;0;0;0;0;0;28.8;0;0;0;6.4;0;0;0;12.8;0;12.8;9.6;0;0;0;0;0;3.2;0;0;0;0;0;0;0
KOD11;per;per;0;0;0;0;0;0;227.2;0;0;0;0;9.6;3.2;3.2;0;3.2;3.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;25.6;0;0;19.2;0;0;0;0;0;0;19.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0
KOD12;per;per;0;0;0;0;0;0;294.4;0;0;0;0;12.8;0;3.2;0;19.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;6.4;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0
KON03;per;per;0;0;0;0;0;0;0;3.2;0;0;0;0;0;6.4;0;816;6.4;3.2;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0
KON04;per;per;0;0;0;3.2;0;0;0;16;0;0;0;0;0;12.8;0;1449.6;182.4;6.4;0;0;0;0;0;0;0;6.4;0;16;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;6.4;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;12.8;0;6.4;0;0;0;0;0;0;3.2;0;0
KON05;per;per;0;0;0;6.4;0;0;0;3.2;0;0;0;0;0;6.4;0;656;9.6;6.4;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;3.2;0;0;6.4;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KON06;per;per;0;0;0;0;0;0;0;60.8;0;0;0;6.4;6.4;0;0;352;0;6.4;0;0;0;0;3.2;0;0;3.2;0;3.2;0;0;0;0;6.4;0;0;0;0;0;0;0;12.8;0;0;67.2;0;0;0;0;0;0;6.4;0;0;0;0;0;28.8;0;0;0;0;0;0;0;9.6;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;48;0;0;0;0;0;0;0;3.2;19.2;0;0;0;0
KON07;per;per;0;0;0;0;0;0;9.6;243.2;0;0;0;0;3.2;0;0;0;153.6;0;0;0;0;0;0;0;9.6;0;0;0;6.4;0;0;0;0;25.6;0;0;0;0;0;0;28.8;0;0;6.4;0;0;0;0;0;0;12.8;0;3.2;0;0;0;0;0;3.2;0;0;0;16;0;0;6.4;0;0;0;0;0;0;0;0;0;0;28.8;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;16;0;0;48;0;0;3.2;0;0;0;0;0;32;0;0;0;0
KON08;per;per;182.4;0;0;0;0;0;3.2;0;0;0;0;188.8;0;0;0;32;22.4;3.2;0;0;0;0;3.2;0;0;0;0;0;3.2;6.4;0;35.2;0;0;3.2;0;0;0;0;0;16;38.4;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;41.6;0;3.2;19.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;153.6;0;0;0;0;0;0;0;0;0;0;0;0;0
KON09;per;per;454.4;0;0;0;0;0;28.8;166.4;0;3.2;0;118.4;0;0;0;12.8;112;60.8;0;0;0;19.2;0;0;0;0;0;0;0;3.2;0;0;12.8;0;0;0;0;0;0;0;0;16;3.2;0;0;0;3.2;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;6.4;3.2;0;0;0;0;0;3.2;204.8;0;0;0;35.2;0;0;0;0;0;3.2;0;0;0
KON10;per;per;51.2;0;0;0;0;0;300.8;3.2;0;0;0;172.8;83.2;0;0;99.2;275.2;83.2;0;0;0;16;0;0;0;0;0;0;0;0;0;28.8;16;0;3.2;3.2;0;0;0;0;0;0;0;0;3.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;19.2;0;0;0;0;0;0;0;22.4;0;0;54.4;19.2;0;0;6.4;0;0;25.6;214.4;0;0;9.6;0;0;0;0;0;0;0;0;0;0
KON11;per;per;38.4;0;0;0;0;0;176;115.2;0;0;0;25.6;25.6;0;0;172.8;342.4;19.2;0;0;0;0;0;0;0;0;0;0;16;0;0;51.2;19.2;0;0;0;0;0;0;0;0;22.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;16;0;0;0;0;3.2;0;0;16;0;0;32;0;0;0;3.2;0;0;0;28.8;0;0;6.4;16;0;0;0;0;0;0;0;0;0
KON12;per;per;22.4;0;0;0;0;0;192;137.6;0;0;0;0;28.8;0;0;252.8;1030.4;16;0;0;0;3.2;0;0;0;0;0;0;22.4;0;0;16;6.4;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;3.2;0;0;0;0;3.2;0;9.6;0;19.2;0;0;0;0;3.2;0;0;16;0;0;19.2;6.4;0;0;3.2;0;0;0;22.4;0;0;0;57.6;0;0;0;0;0;0;0;0;0
LET03;int;flow;0;3.2;0;0;368;0;3.2;0;0;0;0;985.6;0;0;0;307.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0;0;0;73.6;86.4;0;0;0;0;0;9.6;0;0;0;0;0;0;3.2;0;0;0;0;99.2;0
LET04;int;flow;0;3.2;0;0;262.4;0;3.2;0;0;0;0;579.2;3.2;0;0;2188.8;3.2;0;0;0;0;0;19.2;0;0;0;3.2;6.4;317.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;51.2;0;0;0;384;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;12.8;0;0;3.2;105.6;198.4;0;0;0;3.2;0;0;0;22.4;0;0;0;0;48;41.6;0;3.2;0;137.6;9.6
